0,1,2,3,4,5,6,7,8
RPS12,LYZ,LTB,CD74,CCL5,LST1,GNLY,HLA-DRB5,SDPR
RPL32,S100A9,LDHB,CD79A,NKG7,FCER1G,NKG7,HLA-DRB1,GNG11
RPS6,S100A8,IL32,HLA-DRA,B2M,COTL1,GZMB,CD74,HIST1H2AC
RPS27,TYROBP,CD3D,CD79B,CST7,AIF1,CTSW,HLA-DQA1,PF4
RPS25,FTL,IL7R,HLA-DPB1,GZMA,FCGR3A,PRF1,HLA-DPB1,PPBP
RPS14,FCN1,TPT1,MS4A1,IL32,IFITM3,GZMA,HLA-DRA,SPARC
RPL31,CST3,CD2,HLA-DQA1,CTSW,FTH1,CST7,HLA-DMA,RGS18
RPL9,S100A6,CD3E,CD37,HLA-C,IFITM2,HLA-C,HLA-DPA1,TPM4
RPS3A,LGALS2,RPS25,HLA-DRB1,HLA-A,SAT1,B2M,HLA-DQB1,NRGN
RPL13,FTH1,JUNB,HLA-DQB1,GZMK,FTL,FGFBP2,VIM,CD9
RPS15A,LGALS1,RPS12,HLA-DPA1,CD3D,SERPINA1,HLA-A,CST3,GPX1
RPS3,GSTP1,GIMAP7,HLA-DRB5,PTPRCAP,PSAP,CD247,FCER1A,TAGLN2
RPL30,GPX1,TMEM66,TCL1A,LYAR,S100A11,FCGR3A,ACTG1,RGS10
RPS27A,S100A4,RPLP0,RPL18A,GZMM,CTSS,SPON2,H2AFY,CALM3
RPLP2,AIF1,AQP3,LINC00926,CD8A,OAZ1,PLAC8,ANXA2,OAZ1
RPL3,TYMP,RPS3,HLA-DMA,MALAT1,CD68,CD7,GSTP1,MYL12A
RPL21,OAZ1,RPS29,RPS23,HLA-B,CST3,HLA-B,GPX1,ACTB
LDHB,LST1,JUN,RPS11,HCST,CFD,GZMM,GAPDH,MYL6
MALAT1,CTSS,RPL36,VPREB3,KLRG1,S100A4,UBB,ACTB,ARPC5
RPS18,SAT1,RPL30,RPS5,PRF1,TIMP1,CCL4,HLA-DQA2,SH3BGRL3
